student_id,subject,topic,final_mastery_score,mastery_level,predicted_mastery_score,grade,learning_pace,preferred_learning_style,baseline_proficiency
STU001,Math,Algebra,88,advanced,,10,fast,visual,85
STU002,Math,Algebra,65,intermediate,,10,average,mixed,62
STU003,Math,Algebra,50,intermediate,,10,slow,textual,45
STU004,Math,Calculus,95,advanced,,10,fast,mixed,92
STU005,Physics,Kinematics,72,intermediate,,10,average,visual,70
STU006,Physics,Kinematics,40,intermediate,,11,slow,visual,35
STU007,CS,Python,82,advanced,,11,fast,textual,78
STU008,CS,Python,58,intermediate,,11,average,mixed,55
STU009,Math,Calculus,90,advanced,,11,fast,visual,88
STU010,Math,Algebra,45,intermediate,,10,slow,mixed,42
STU011,Physics,Thermodynamics,68,intermediate,,12,average,textual,65
STU012,Physics,Thermodynamics,85,advanced,,12,fast,mixed,81
STU013,CS,Algorithms,98,advanced,,12,fast,visual,95
STU014,CS,Algorithms,32,beginner,,12,slow,textual,28
STU015,Math,Geometry,60,intermediate,,10,average,visual,58
STU016,Math,Geometry,76,advanced,,10,average,mixed,74
STU017,Physics,Optics,63,intermediate,,11,average,textual,60
STU018,Physics,Optics,47,intermediate,,11,slow,visual,48
STU019,CS,Databases,86,advanced,,12,fast,mixed,83
STU020,CS,Databases,70,intermediate,,10,average,visual,67
