project_id,student_id,role_in_team,tasks_completed,peer_review_score,communication_score,collaboration_score,creativity_score,project_completion_pct,grade,learning_pace
PRJ001,STU001,Leader,12,4.8,4.9,4.7,4.5,100,10,fast
PRJ001,STU002,Contributor,8,4.2,4.0,4.1,3.8,100,10,average
PRJ001,STU003,Contributor,5,3.5,3.2,3.4,3.0,100,10,slow
PRJ001,STU004,Editor,9,4.5,4.4,4.6,4.2,100,10,fast
PRJ002,STU005,Leader,10,4.6,4.5,4.5,4.0,95,10,average
PRJ002,STU006,Contributor,3,2.5,2.0,2.2,2.5,95,11,slow
PRJ002,STU007,Contributor,7,4.0,4.1,3.9,4.3,95,11,fast
PRJ002,STU008,Editor,6,3.8,3.7,3.6,3.9,95,11,average
PRJ003,STU009,Leader,11,4.9,4.8,4.8,4.7,98,11,fast
PRJ003,STU010,Contributor,4,3.0,2.8,3.1,2.9,98,10,slow
PRJ003,STU011,Contributor,6,3.9,3.8,3.7,3.5,98,12,average
PRJ003,STU012,Editor,8,4.4,4.3,4.5,4.1,98,12,fast
PRJ004,STU013,Leader,13,5.0,4.9,4.9,5.0,100,12,fast
PRJ004,STU014,Contributor,2,1.8,1.5,1.7,2.0,100,12,slow
PRJ004,STU015,Contributor,7,4.1,4.0,4.2,3.8,100,10,average
PRJ004,STU016,Editor,8,4.3,4.2,4.4,4.0,100,10,average
PRJ005,STU017,Leader,9,4.5,4.4,4.3,4.1,90,11,average
PRJ005,STU018,Contributor,4,2.8,2.5,2.7,2.6,90,11,slow
PRJ005,STU019,Contributor,9,4.7,4.6,4.8,4.5,90,12,fast
PRJ005,STU020,Editor,7,4.0,3.9,4.0,3.8,90,10,average
