attempt_id,student_id,subject,topic,quiz_score,time_taken_seconds,number_of_attempts,difficulty_level,previous_mastery_score,timestamp,grade,learning_pace,preferred_learning_style,baseline_proficiency
ATT001,STU001,Math,Algebra,88,145,1,hard,0,2025-09-01 09:15:00,10,fast,visual,85
ATT002,STU002,Math,Algebra,65,210,1,medium,0,2025-09-01 09:16:30,10,average,mixed,62
ATT003,STU003,Math,Algebra,50,300,2,medium,35,2025-09-01 09:20:00,10,slow,textual,45
ATT010,STU010,Math,Algebra,45,310,2,easy,30,2025-09-01 09:25:00,10,slow,mixed,42
ATT004,STU004,Math,Calculus,95,120,1,hard,0,2025-09-01 10:00:00,10,fast,mixed,92
ATT009,STU009,Math,Calculus,90,135,1,hard,0,2025-09-01 10:10:00,11,fast,visual,88
ATT005,STU005,Physics,Kinematics,72,190,1,medium,0,2025-09-02 11:00:00,10,average,visual,70
ATT006,STU006,Physics,Kinematics,40,350,3,easy,25,2025-09-02 11:05:00,11,slow,visual,35
ATT007,STU007,CS,Python,82,160,1,hard,0,2025-09-03 14:00:00,11,fast,textual,78
ATT008,STU008,CS,Python,58,240,2,medium,45,2025-09-03 14:15:00,11,average,mixed,55
ATT011,STU011,Physics,Thermodynamics,68,200,1,medium,0,2025-09-04 09:00:00,12,average,textual,65
ATT012,STU012,Physics,Thermodynamics,85,150,1,hard,0,2025-09-04 09:05:00,12,fast,mixed,81
ATT013,STU013,CS,Algorithms,98,110,1,hard,0,2025-09-05 15:00:00,12,fast,visual,95
ATT014,STU014,CS,Algorithms,32,400,3,easy,20,2025-09-05 15:10:00,12,slow,textual,28
ATT015,STU015,Math,Geometry,60,220,2,medium,50,2025-09-06 10:00:00,10,average,visual,58
ATT016,STU016,Math,Geometry,76,180,1,medium,0,2025-09-06 10:15:00,10,average,mixed,74
ATT017,STU017,Physics,Optics,63,230,1,medium,0,2025-09-07 11:30:00,11,average,textual,60
ATT018,STU018,Physics,Optics,47,330,2,easy,38,2025-09-07 11:45:00,11,slow,visual,48
ATT019,STU019,CS,Databases,86,155,1,hard,0,2025-09-08 13:00:00,12,fast,mixed,83
ATT020,STU020,CS,Databases,70,195,1,medium,0,2025-09-08 13:15:00,10,average,visual,67
