attempt_id,student_id,subject,topic,quiz_id,quiz_score,time_taken_seconds,number_of_attempts,difficulty_level,previous_mastery_score,timestamp
ATT001,STU001,Math,Algebra,QZ_101,88,145,1,hard,0,2025-09-01 09:15:00
ATT002,STU002,Math,Algebra,QZ_101,65,210,1,medium,0,2025-09-01 09:16:30
ATT003,STU003,Math,Algebra,QZ_101,50,300,2,medium,35,2025-09-01 09:20:00
ATT004,STU004,Math,Calculus,QZ_102,95,120,1,hard,0,2025-09-01 10:00:00
ATT005,STU005,Physics,Kinematics,QZ_201,72,190,1,medium,0,2025-09-02 11:00:00
ATT006,STU006,Physics,Kinematics,QZ_201,40,350,3,easy,25,2025-09-02 11:05:00
ATT007,STU007,CS,Python,QZ_301,82,160,1,hard,0,2025-09-03 14:00:00
ATT008,STU008,CS,Python,QZ_301,58,240,2,medium,45,2025-09-03 14:15:00
ATT009,STU009,Math,Calculus,QZ_102,90,135,1,hard,0,2025-09-01 10:10:00
ATT010,STU010,Math,Algebra,QZ_101,45,310,2,easy,30,2025-09-01 09:25:00
ATT011,STU011,Physics,Thermodynamics,QZ_202,68,200,1,medium,0,2025-09-04 09:00:00
ATT012,STU012,Physics,Thermodynamics,QZ_202,85,150,1,hard,0,2025-09-04 09:05:00
ATT013,STU013,CS,Algorithms,QZ_302,98,110,1,hard,0,2025-09-05 15:00:00
ATT014,STU014,CS,Algorithms,QZ_302,32,400,3,easy,20,2025-09-05 15:10:00
ATT015,STU015,Math,Geometry,QZ_103,60,220,2,medium,50,2025-09-06 10:00:00
ATT016,STU016,Math,Geometry,QZ_103,76,180,1,medium,0,2025-09-06 10:15:00
ATT017,STU017,Physics,Optics,QZ_203,63,230,1,medium,0,2025-09-07 11:30:00
ATT018,STU018,Physics,Optics,QZ_203,47,330,2,easy,38,2025-09-07 11:45:00
ATT019,STU019,CS,Databases,QZ_303,86,155,1,hard,0,2025-09-08 13:00:00
ATT020,STU020,CS,Databases,QZ_303,70,195,1,medium,0,2025-09-08 13:15:00
